TICKER,SNAPSHOT_DATE,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY,LOADED_AT
ULVR.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
GLE.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ABBN.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EQT.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SAP.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IG.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EOAN.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
VIE.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RNO.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
LAND.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
VOD.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
LMP.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BMW.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
DBK.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
REL.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
WEIR.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IHG.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
UMG.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EXO.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EDEN.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BAB.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
NN.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AD.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ADS.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SU.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CON.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MNDI.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SCYR.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SAN.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SKA-B.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BT-A.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SAN.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
LOG.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BC.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HSX.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IMB.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
REN.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EPI-A.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IBE.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
UBSG.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CABK.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BPSO.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BBVA.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EZJ.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CLNX.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BKG.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CPR.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
DTG.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AMRZ.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SBRY.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SAF.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SGO.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
PRY.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BVI.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ACS.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ALW.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SMT.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IDR.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ADDT-B.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BMPS.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ADM.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ABB.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
KGF.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
STMPA.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BP.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HER.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
TEP.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CA.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
STLAM.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MRO.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ELE.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
NG.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AHT.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
DG.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
TW.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
LOGN.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SOON.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SPM.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RED.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
