TICKER,PE_TRAILING,PE_FORWARD,PRICE_TO_BOOK,EV_TO_EBITDA,DIVIDEND_YIELD,PAYOUT_RATIO,MARKET_CAP,ENTERPRISE_VALUE,SHARES_OUTSTANDING
PAH3.DE,,2.208433600,0.32478404,-491.034,5.27,0.20620000,11227124736,16204125184,153124992
PCT.L,41.7500000,,128.38252000,,,,4776826368,,1144150016
PGHN.SW,23.4191020,22.351717000,16.59866300,21.447,3.91,0.91600000,27857733632,30623797248,25938300
PHIA.AS,151.5625000,15.544872000,2.22089930,18.309,3.52,5.31250000,23051419648,29606385664,950574016
PHNX.L,,0.141749710,508.33997000,-13.929,8.59,0.51150000,6392978944,431800000,998902976
PIRC.MI,12.0000000,9.677420000,1.08264170,6.689,4.18,0.50200003,6000000000,9098162176,1000000000
PRU.L,10.8421060,13.376623000,148.30814000,5.155,1.75,0.17639999,26284879872,28552699904,2551930112
PRX.AS,12.2970520,15.950000000,2.42379550,1000.153,0.37,0.02100000,121377046528,277042495488,2238190080
PRY.MI,30.5945950,19.909548000,4.19126200,14.934,1.00,0.30890000,22720802816,27612813312,286734016
PSH.L,9.8135600,,56.63976700,,,,8256910848,,178258000
PSN.L,13.7848100,0.108726030,99.96328000,8.009,5.58,0.75660000,3566779648,3360710912,320232992
PSON.L,16.2000000,0.156185100,194.06561000,12.615,2.35,0.36810002,6831748096,8136594944,644384000
PST.MI,12.1060610,12.562893000,2.17119570,22.415,5.46,0.65449995,25850046464,88606965760,1294119936
PUB.PA,12.1807410,10.636481000,2.14125750,8.435,4.38,0.53330004,20762687488,23897292800,250818000
PUIG.MC,12.2881365,,2.31629400,,2.55,,8331207168,,169932992
QIA.DE,26.8965510,22.413794000,2.41232130,9.006,0.54,0.14790000,8456525824,8985965568,216834000
RACE.MI,45.9438200,45.840805000,20.57565700,32.040,0.73,0.33510000,73252388864,74567106560,178094000
RAND.AS,85.8139600,10.726745000,1.69866050,13.484,4.40,3.76739980,6702885376,8481506816,175231008
REC.MI,27.9999980,19.711191000,6.01056800,15.407,2.47,0.65230006,11190106112,13384485888,204920000
RED.MC,17.4787240,13.578512000,1.73936060,12.364,7.30,0.84730005,8878903296,14579689472,540408000
REL.L,32.9708750,0.259058650,2853.78150000,22.485,1.93,0.60930000,64734212096,69545926656,1826290048
REN.AS,32.9747900,38.470592000,32.97479000,25.612,1.94,0.60930000,74388840448,79217836032,1826290048
REP.MC,24.1833320,4.534375000,0.77029250,5.942,6.89,1.62500000,16412116992,24391860224,1128280064
RHM.DE,101.6486500,62.850937000,19.32146300,47.314,0.46,0.43570000,83914113024,88192688128,44623300
RI.PA,20.8990820,13.328536000,1.50683800,10.584,5.11,1.07760000,23699036160,34695925760,251660992
RIO.L,9.8954740,8.846821000,128.09674000,5.087,6.22,0.63370000,76424593408,92626780160,1253880064
RKT.L,31.4426230,0.170100810,619.17570000,13.344,3.57,1.10140000,39226052608,47556964352,676828032
RMS.PA,49.4145200,44.253357000,13.32407200,31.517,0.76,0.37490000,221203955712,212962902016,104836000
RMV.L,27.9307700,0.249296260,6850.94340000,20.061,1.39,0.37690000,5686763008,5567083520,769694976
RNO.PA,,2.932937100,0.47522760,10.877,6.45,0.68010000,9961836544,60618043392,288331008
ROG.SW,22.8815000,13.099072000,7.45286400,10.274,3.61,0.82620000,213383102464,240704536576,689625984
ROVI.MC,23.2239400,22.195572000,5.45875300,16.294,1.55,0.42610002,3076642560,3169328384,51149500
RR.L,16.5220580,0.538332500,3928.32150000,26.852,0.82,0.08770000,93507444736,93577682944,8322869760
RTO.L,41.7111100,0.167889070,179.70320000,14.391,2.40,0.93490000,9585951744,13858587648,2514639872
RWE.DE,10.6083090,17.610838000,0.78530010,7.427,3.07,0.32639998,25957431296,40448413696,726081984
SAAB-B.ST,55.2489600,53.527637000,7.21318600,37.080,0.38,0.18690000,280733974528,288110608384,527100992
SAB.MC,9.3277780,25.830770000,1.22868650,,5.79,0.56990004,16899639296,56895365120,5023680000
SAF.PA,27.5822070,34.865524000,9.04076700,20.253,1.03,0.28050000,119398694912,118219653120,418648992
