TICKER_YAHOO,NOMBRE,PAIS,TICKET
HLN.L,Haleon PLC,Reino Unido,HLN
STAN.L,Standard Chartered PLC,Reino Unido,STAN
CCEP.L,Coca-Cola Europacific Partners plc,Reino Unido,CCEP
TSCO.L,Tesco PLC,Reino Unido,TSCO
AAL.L,Anglo American plc,Reino Unido,AAL
PRU.L,Prudential plc,Reino Unido,PRU
IMB.L,Imperial Brands PLC,Reino Unido,IMB
AHT.L,Ashtead Group plc,Reino Unido,AHT
ANTO.L,Antofagasta plc,Reino Unido,ANTO
VOD.L,Vodafone Group Public Limited Company,Reino Unido,VOD
AV.L,Aviva plc,Reino Unido,AV
BT-A.L,BT Group plc,Reino Unido,BT-A
SSE.L,SSE PLC,Reino Unido,SSE
IAG.L,International Consolidated Airlines Group SA,Reino Unido,IAG
FRES.L,Fresnillo PLC,Reino Unido,FRES
NXT.L,Next plc,Reino Unido,NXT
ABF.L,Associated British Foods plc,Reino Unido,ABF
IHG.L,InterContinental Hotels Group PLC,Reino Unido,IHG
CCH.L,Coca-Cola HBC AG,Reino Unido,CCH
LGEN.L,Legal & General Group Plc,Reino Unido,LGEN
SMT.L,Scottish Mortgage Investment Trust Plc,Reino Unido,SMT
HLMA.L,Halma plc,Reino Unido,HLMA
SN.L,Smith & Nephew plc,Reino Unido,SN
INF.L,Informa Plc,Reino Unido,INF
SGE.L,Sage Group plc,Reino Unido,SGE
ADM.L,Admiral Group plc,Reino Unido,ADM
RTO.L,Rentokil Initial plc,Reino Unido,RTO
SGRO.L,SEGRO plc,Reino Unido,SGRO
AAF.L,Airtel Africa Plc,Reino Unido,AAF
BNZL.L,Bunzl plc,Reino Unido,BNZL
PSH.L,"Pershing Square Holdings, Ltd. Public Class USD Accum.Shs",Reino Unido,PSH
SMIN.L,Smiths Group Plc,Reino Unido,SMIN
SVT.L,Severn Trent Plc,Reino Unido,SVT
UU.L,United Utilities Group PLC,Reino Unido,UU
MRO.L,Melrose Industries PLC,Reino Unido,MRO
CNA.L,Centrica plc,Reino Unido,CNA
DPLM.L,Diploma PLC,Reino Unido,DPLM
ITRK.L,Intertek Group plc,Reino Unido,ITRK
MKS.L,Marks and Spencer Group plc,Reino Unido,MKS
AUTO.L,Auto Trader Group PLC,Reino Unido,AUTO
EDV.L,Endeavour Mining PLC,Reino Unido,EDV
SBRY.L,J Sainsbury plc,Reino Unido,SBRY
PSON.L,Pearson PLC,Reino Unido,PSON
WEIR.L,Weir Group PLC,Reino Unido,WEIR
STJ.L,St. James's Place Plc,Reino Unido,STJ
PHNX.L,Phoenix Group Holdings plc,Reino Unido,PHNX
ICG.L,ICG plc,Reino Unido,ICG
MNG.L,M&G Plc,Reino Unido,MNG
SDR.L,Schroders PLC,Reino Unido,SDR
RMV.L,Rightmove plc,Reino Unido,RMV
ENT.L,Entain PLC,Reino Unido,ENT
FCIT.L,F&C Investment Trust PLC GBP,Reino Unido,FCIT
IMI.L,IMI plc,Reino Unido,IMI
BAB.L,Babcock International Group PLC,Reino Unido,BAB
WTB.L,Whitbread PLC,Reino Unido,WTB
SPX.L,Spirax Group plc.,Reino Unido,SPX
BTRW.L,Barratt Redrow plc,Reino Unido,BTRW
ALW.L,Alliance Witan PLC,Reino Unido,ALW
GAW.L,Games Workshop Group PLC,Reino Unido,GAW
CTEC.L,ConvaTec Group Plc,Reino Unido,CTEC
BEZ.L,Beazley Plc,Reino Unido,BEZ
PCT.L,Polar Capital Technology Trust PLC,Reino Unido,PCT
JD.L,JD Sports Fashion Plc,Reino Unido,JD
DCC.L,DCC Plc,Reino Unido,DCC
HWDN.L,Howden Joinery Group PLC,Reino Unido,HWDN
MNDI.L,Mondi plc,Reino Unido,MNDI
WPP.L,WPP Plc,Reino Unido,WPP
HSX.L,Hiscox Ltd,Reino Unido,HSX
KGF.L,Kingfisher Plc,Reino Unido,KGF
LMP.L,LondonMetric Property Plc,Reino Unido,LMP
LAND.L,Land Securities Group PLC,Reino Unido,LAND
HIK.L,Hikma Pharmaceuticals Plc,Reino Unido,HIK
CRDA.L,Croda International Plc,Reino Unido,CRDA
EZJ.L,easyJet plc,Reino Unido,EZJ
UTG.L,UNITE Group plc,Reino Unido,UTG
BKG.L,Berkeley Group Holdings plc,Reino Unido,BKG
PSN.L,Persimmon Plc,Reino Unido,PSN
TW.L,Taylor Wimpey plc,Reino Unido,TW
AZN.ST,AstraZeneca PLC,Suecia,AZN
ABB.ST,ABB Ltd.,Suecia,ABB
INVE-B.ST,Investor AB Class B,Suecia,INVE-B
ATCO-A.ST,Atlas Copco AB Class A,Suecia,ATCO-A
VOLV-B.ST,Volvo AB Class B,Suecia,VOLV-B
NDA-SE.ST,Nordea Bank Abp,Suecia,NDA-SE
EQT.ST,EQT AB,Suecia,EQT
ASSA-B.ST,ASSA ABLOY AB Class B,Suecia,ASSA-B
SEB-A.ST,Skandinaviska Enskilda Banken AB Class A,Suecia,SEB-A
SAND.ST,Sandvik AB,Suecia,SAND
SWED-A.ST,Swedbank AB Class A,Suecia,SWED-A
HEXA-B.ST,Hexagon AB Class B,Suecia,HEXA-B
SAAB-B.ST,Saab AB Class B,Suecia,SAAB-B
ERIC-B.ST,Telefonaktiebolaget LM Ericsson Class B,Suecia,ERIC-B
SHB-A.ST,Svenska Handelsbanken AB Class A,Suecia,SHB-A
HM-B.ST,H&M Hennes & Mauritz AB Class B,Suecia,HM-B
EPI-A.ST,Epiroc AB Class A,Suecia,EPI-A
ALFA.ST,Alfa Laval AB,Suecia,ALFA
ESSITY-B.ST,Essity AB Class B,Suecia,ESSITY-B
EVO.ST,Evolution AB,Suecia,EVO
INDU-C.ST,Industrivarden AB Class C,Suecia,INDU-C
LIFCO-B.ST,Lifco AB Class B,Suecia,LIFCO-B
TELIA.ST,Telia Company AB,Suecia,TELIA
TEL2-B.ST,Tele2 AB Class B,Suecia,TEL2-B
SKF-B.ST,SKF AB Class B,Suecia,SKF-B
SKA-B.ST,Skanska AB Class B,Suecia,SKA-B
BOL.ST,Boliden AB,Suecia,BOL
ADDT-B.ST,Addtech AB Class B,Suecia,ADDT-B
SCA-B.ST,Svenska Cellulosa AB SCA Class B,Suecia,SCA-B
NIBE-B.ST,NIBE Industrier AB Class B,Suecia,NIBE-B
ROG.SW,Roche Holding Ltd Dividend Right Cert.,Suiza,ROG
NOVN.SW,Novartis AG,Suiza,NOVN
NESN.SW,Nestle S.A.,Suiza,NESN
ABBN.SW,ABB Ltd.,Suiza,ABBN
UBSG.SW,UBS Group AG,Suiza,UBSG
CFR.SW,Compagnie Financiere Richemont SA,Suiza,CFR
ZURN.SW,Zurich Insurance Group Ltd,Suiza,ZURN
LONN.SW,Lonza Group AG,Suiza,LONN
SREN.SW,Swiss Re AG,Suiza,SREN
HOLN.SW,Holcim Ltd,Suiza,HOLN
ALC.SW,Alcon AG,Suiza,ALC
GIVN.SW,Givaudan SA,Suiza,GIVN
SCMN.SW,Swisscom AG,Suiza,SCMN
SIKA.SW,Sika AG,Suiza,SIKA
PGHN.SW,Partners Group Holding AG,Suiza,PGHN
AMRZ.SW,Amrize Ltd,Suiza,AMRZ
SLHN.SW,Swiss Life Holding AG,Suiza,SLHN
KNIN.SW,Kuehne & Nagel International AG,Suiza,KNIN
GEBN.SW,Geberit AG,Suiza,GEBN
SOON.SW,Sonova Holding AG,Suiza,SOON
LOGN.SW,Logitech International S.A.,Suiza,LOGN
