Ticker,Year,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,Net Income From Continuing Operations,DepreciationAmortizationDepletion,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,TaxesRefundPaid,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetInvestmentPurchaseAndSale,PurchaseOfInvestments,SaleOfInvestments,NetPPEPurchaseAndSale,PurchaseOfPPE,SaleOfPPE,NetIntangiblesPurchaseAndSale,PurchaseOfIntangibles,SaleOfIntangibles,NetBusinessPurchaseAndSale,PurchaseOfBusiness,SaleOfBusiness,Net Other Investing Changes,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetLongTermDebtIssuance,Net Issuance Payments Of Debt,LongTermDebtIssued,LongTermDebtPayments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Cash Dividends Paid,Net Other Financing Charges,EndCashPosition,ChangeInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
TEP.PA,2023,1375.0,,592.0,639.0,639.0,151.0,24.0,43.0,,24.0,-349.0,-2587.0,,,,,,,,-212.0,-233.0,21.0,-2373.0,-2373.0,,,1319.0,,,,,,215.0,581.0,-366.0,-227.0,1680.0,867.0,107.0,-53.0,813.0,-233.0,581.0,,,-366.0,1142.0
TEP.PA,2024,1813.0,,523.0,779.0,779.0,260.0,103.0,140.0,,103.0,-366.0,-221.0,,,,,,,,-214.0,-219.0,5.0,-7.0,-7.0,,,-1403.0,,,,,,-184.0,,-184.0,-231.0,-473.0,1049.0,189.0,-7.0,867.0,-219.0,,,,-184.0,1594.0
TEP.PA,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT.MI,2020,,,,,,,,,,,,,,,,,,,,,,,,-40.0,,,,,,,,,,,,,,,,,,,,,,,
TIT.MI,2021,4336.0,,-8400.0,2979.0,4490.0,,4286.0,3814.0,,4286.0,,-5117.0,,-100.0,,,-3411.0,-3411.0,,-598.0,-1886.0,1288.0,172.0,0.0,172.0,-1180.0,3164.0,,,,,,-42.0,-42.0,,-368.0,3574.0,6904.0,2383.0,13.0,4508.0,-5297.0,,,,,-961.0
TIT.MI,2022,4895.0,,-2654.0,3260.0,4777.0,,3028.0,2504.0,,3028.0,,-5335.0,,-26.0,,,-3781.0,-3781.0,,-2462.0,-2524.0,62.0,-38.0,-1316.0,1278.0,972.0,-2869.0,,,,,,2.0,2.0,,-68.0,-2803.0,3555.0,-3309.0,-40.0,6904.0,-6305.0,,,,,-1410.0
TIT.MI,2023,3493.0,,-94.0,1830.0,3292.0,,307.0,559.0,,307.0,,-2822.0,,-49.0,,,-1994.0,-1994.0,,-175.0,-838.0,663.0,19.0,,19.0,-623.0,-241.0,,,,,,0.0,0.0,,-273.0,32.0,2912.0,-661.0,18.0,3555.0,-2832.0,,,,,661.0
TIT.MI,2024,3251.0,,83.0,1770.0,3189.0,,-62.0,-85.0,,-62.0,,5361.0,,-34.0,,,-1994.0,-1994.0,,320.0,-855.0,1175.0,4165.0,-4.0,4169.0,2904.0,-7255.0,,,,,,0.0,0.0,,-159.0,-7096.0,2924.0,113.0,-101.0,2912.0,-2849.0,,,,,402.0
TIT.MI,2025,625.0,,64.0,74.0,738.0,,-181.0,25.0,,-181.0,,-319.0,,0.0,,,-388.0,-388.0,,-11.0,-165.0,154.0,0.0,0.0,0.0,80.0,-1055.0,,,,,,0.0,0.0,,-50.0,-1005.0,1472.0,-770.0,-18.0,2260.0,-553.0,,,,,72.0
TRN.MI,2020,,,,,,,,,,,,,,,,,,-1186.6,,-101.6,-101.6,,,,,,,,,,,,-9.5,-9.5,-9.5,,,,,,,,,,,-9.5,
TRN.MI,2021,832.3,,790.8,664.8,664.8,104.5,-585.8,-38.5,-33.4,-585.8,-317.9,-863.3,,600.0,,,32.9,,32.9,,,,-32.0,-31.6,0.0,,-1051.8,,,,,,-10.0,-10.0,-10.0,-546.7,-495.1,1606.2,-1082.8,,2689.0,-1475.0,,,,-10.0,-642.7
