Ticker,Year,Total Revenue,Net Interest Income,Total Premiums Earned,Total Other Income Expense Net,Interest Expense,Provision for Loan Losses,Selling General Administrative,Other Operating Expenses,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Gross Profit,Operating Expense,Operating Income,Ebit,Extraordinary Items,Effect Of Accounting Charges,Other Items,Income Before Tax,Tax Provision,Net Income Applicable To Common Shares,Net Income,Net Income From Continuing Ops,Discontinued Operations,Normalized Income,Minority Interest,Preferred Dividends,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares
AI.PA,2024.0,27057800000.0,-418400000.0,,,258400000.0,,,4221400000.0,,,,17049600000.0,11658200000.0,5391400000.0,,,,,,1086500000.0,,3306100000.0,,,3644908000.0,,,5.74,5.74,576457564.0,576457564.0
AIR.DE,2021.0,52149000000.0,2000000.0,,,353000000.0,,,,,,,9631000000.0,4798000000.0,4833000000.0,,,,,,853000000.0,,4213000000.0,,,4520100000.0,,,5.36,5.36,785326074.0,785761995.0
AIR.DE,2022.0,58763000000.0,195000000.0,,,412000000.0,,,,,,,10571000000.0,5319000000.0,5252000000.0,,,,,,939000000.0,,4247000000.0,,,4527260000.0,,,5.4,5.39,787080579.0,787753485.0
AIR.DE,2023.0,65446000000.0,90000000.0,,,756000000.0,,,,,,,10044000000.0,5778000000.0,4266000000.0,,,,,,1156000000.0,,3789000000.0,,,3759453554.204236,,,4.8,4.8,788720779.0,789760599.0
AIR.DE,2024.0,69230000000.0,39000000.0,,,900000000.0,,,,,,,10675000000.0,5871000000.0,4804000000.0,,,,,,1347000000.0,,4232000000.0,,,4374880000.0,,,5.36,5.35,789961671.0,790991077.0
AIR.PA,2021.0,52149000000.0,2000000.0,,,353000000.0,,,,,,,9631000000.0,4798000000.0,4833000000.0,,,,,,853000000.0,,4213000000.0,,,4520100000.0,,,5.36,5.36,785326074.0,785761995.0
AIR.PA,2022.0,58763000000.0,195000000.0,,,412000000.0,,,,,,,10571000000.0,5319000000.0,5252000000.0,,,,,,939000000.0,,4247000000.0,,,4527260000.0,,,5.4,5.39,787080579.0,787753485.0
AIR.PA,2023.0,65446000000.0,90000000.0,,,756000000.0,,,,,,,10044000000.0,5778000000.0,4266000000.0,,,,,,1156000000.0,,3789000000.0,,,3759453554.204236,,,4.8,4.8,788720779.0,789760599.0
AIR.PA,2024.0,69230000000.0,39000000.0,,,900000000.0,,,,,,,10675000000.0,5871000000.0,4804000000.0,,,,,,1347000000.0,,4232000000.0,,,4374880000.0,,,5.36,5.35,789961671.0,790991077.0
AKZA.AS,2020.0,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,
AKZA.AS,2021.0,9587000000.0,-18000000.0,,,74000000.0,,,,,,,3904000000.0,2786000000.0,1118000000.0,,,,,,246000000.0,,829000000.0,,,823000000.0,,,4.48,4.46,184959866.0,185673980.0
AKZA.AS,2022.0,10846000000.0,-39000000.0,,,106000000.0,,,,,,,3923000000.0,3215000000.0,708000000.0,,,,,,214000000.0,,352000000.0,,,374900000.0,,,2.01,2.01,174735139.0,175313498.0
AKZA.AS,2023.0,10668000000.0,-98000000.0,,,193000000.0,,,-60000000.0,,,,4234000000.0,3205000000.0,1029000000.0,,,,,,296000000.0,,442000000.0,,,479476000.0,,,2.59,2.58,170573555.0,171338756.0
AKZA.AS,2024.0,10711000000.0,-70000000.0,,,190000000.0,,,6000000.0,,,,4337000000.0,3420000000.0,917000000.0,,,,,,246000000.0,,542000000.0,,,532670000.0,,,3.17,3.16,170728870.0,171612875.0
ALC.SW,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.09,-1.09,489000000.0,489000000.0
ALC.SW,2021.0,8291000000.0,-127000000.0,,,120000000.0,,,154000000.0,,,,4652000000.0,4072000000.0,580000000.0,,,,,,42000000.0,,376000000.0,,,407500000.0,,,0.77,0.76,490000000.0,493400000.0
ALC.SW,2022.0,8717000000.0,-130000000.0,,,134000000.0,,,306000000.0,,,,4748000000.0,4076000000.0,672000000.0,,,,,,128000000.0,,335000000.0,,,392196000.0,,,0.68,0.68,491400000.0,494400000.0
ALC.SW,2023.0,9455000000.0,-155000000.0,,,189000000.0,,,171000000.0,,,,5247000000.0,4208000000.0,1039000000.0,,,,,,-142000000.0,,974000000.0,,,1021580000.0,,,1.98,1.96,493000000.0,496500000.0
ALC.SW,2024.0,9911000000.0,-120000000.0,,,192000000.0,,,-27000000.0,,,,5512000000.0,4099000000.0,1413000000.0,,,,,,238000000.0,,1018000000.0,,,1041519000.0,,,,,,
ALFA.ST,2021.0,40911000000.0,-172000000.0,,,217000000.0,,,1828000000.0,,,,14510000000.0,8460000000.0,6050000000.0,,,,,,1341000000.0,,4759000000.0,,,4763690003.256268,,,11.38,11.38,418021440.0,418021440.0
