Ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
SAP.DE,2024-12-31 00:00:00,34176000000.0,9243000000.0,24932000000.0,,,17124000000.0,85000000.0,7808000000.0,,,1031000000.0,,1614000000.0,,,,,,,3124000000.0,,2.68,2.65,1166000000.0,1180000000.0,5376688000.0,,,,,398000000.0,,
SRT3.DE,2024-12-31 00:00:00,3380700000.0,1856300000.0,1524400000.0,,,1087200000.0,24600000.0,437200000.0,,,184100000.0,,49400000.0,,,,,,,84000000.0,,1.21,1.21,34230554.0,34230554.0,128233600.0,,,,,-183300000.0,,
SIE.DE,2024-09-30 00:00:00,75930000000.0,46107000000.0,29823000000.0,,,20358000000.0,514000000.0,9465000000.0,,,1785000000.0,,2320000000.0,,,,,,,8301000000.0,,10.53,10.38,788674000.0,798915000.0,7580840000.0,,,,,808000000.0,,
ENR.DE,2024-09-30 00:00:00,34465000000.0,29962000000.0,4503000000.0,,,4589000000.0,84000000.0,-86000000.0,,,332000000.0,,487000000.0,,,,,,,1184000000.0,,1.37,1.35,862804000.0,874685000.0,-389150000.0,,,,,-303000000.0,,
SHL.DE,2024-09-30 00:00:00,22363000000.0,13895000000.0,8468000000.0,,,5659000000.0,79000000.0,2809000000.0,,,476000000.0,,564000000.0,,,,,,,1942000000.0,,1.74,1.73,1118129000.0,1123447000.0,1942000000.0,,,,,-283000000.0,,
SY1.DE,2024-12-31 00:00:00,4998513000.0,3035074000.0,1963439000.0,,,1254378000.0,19827000.0,709061000.0,,,78393000.0,,163814000.0,,,,,,,478224000.0,,3.42,3.42,139772054.0,139772054.0,476060600.0,,,,,-72037000.0,,
VOW3.DE,2024-12-31 00:00:00,324655000000.0,265184000000.0,59471000000.0,,,37807000000.0,7568000000.0,21664000000.0,,,3446000000.0,,4411000000.0,,,,,,,11351000000.0,,21.36,21.36,501295263.0,501295263.0,14217193000.0,,,,,-1198000000.0,,
VNA.DE,2024-12-31 00:00:00,5939100000.0,3685900000.0,2253200000.0,,,1251700000.0,88200000.0,1001500000.0,,,877100000.0,,385600000.0,,,,,,,-896000000.0,,-1.09,-1.09,819354465.0,819354465.0,-592985000.0,,,,,-820400000.0,,
ZAL.DE,2024-12-31 00:00:00,10572500000.0,6270500000.0,4302000000.0,,,3910100000.0,2438500000.0,391900000.0,,,93400000.0,,116900000.0,,,,,,,251100000.0,,0.97,0.96,259100000.0,261700000.0,245644000.0,,,,,-24000000.0,,
NESN.SW,2024-12-31 00:00:00,91720000000.0,48670000000.0,43050000000.0,,,27437000000.0,399000000.0,15613000000.0,,,1841000000.0,,3314000000.0,,,,,,,10884000000.0,,4.19,4.19,2596000000.0,2599000000.0,11550750000.0,,,,,-1485000000.0,,
ROG.SW,2024-12-31 00:00:00,62395000000.0,16283000000.0,46112000000.0,,,32695000000.0,2495000000.0,13417000000.0,,,1403000000.0,,2606000000.0,,,,,,,8277000000.0,,,,,,8360353000.0,,,,,-1151000000.0,,
NOVN.SW,2024-12-31 00:00:00,51722000000.0,12827000000.0,38895000000.0,,,24351000000.0,1763000000.0,14544000000.0,,,1006000000.0,,1701000000.0,,,,,,,11941000000.0,,5.92,5.87,2018000000.0,2035000000.0,12098500000.0,,,,,-686000000.0,,
CFR.SW,2025-03-31 00:00:00,21399000000.0,7080000000.0,14319000000.0,,,9857000000.0,87000000.0,4462000000.0,,,483000000.0,,727000000.0,,,,,,,2751000000.0,,4.689,4.671,586700000.0,588900000.0,3589320000.0,,,,,-41000000.0,,
ZURN.SW,2024-12-31 00:00:00,77747000000.0,,,,,,2864000000.0,,,,440000000.0,,2261000000.0,,,,,,,5814000000.0,,40.48,40.15,143622281.0,144801127.0,5728614000.0,,,,,-440000000.0,,
